	B_anthracis_14RA5914	B_anthracis_17OD930	B_anthracis_2000031021	B_anthracis_2002013094	B_anthracis_A0248	B_anthracis_A1144	B_anthracis_A16	B_anthracis_A16R	B_anthracis_Ames	B_anthracis_Ames_Ancestor_A2084	B_anthracis_BA1015	B_anthracis_BA1035	B_anthracis_BF1	B_anthracis_CDC_684	B_anthracis_CZC5	B_anthracis_Canadian_bison	B_anthracis_Cvac02	B_anthracis_FDAARGOS_341	B_anthracis_FDAARGOS_698	B_anthracis_FDAARGOS_700	B_anthracis_FDAARGOS_701	B_anthracis_FDAARGOS_704	B_anthracis_FDAARGOS_705	B_anthracis_FDAARGOS_706	B_anthracis_H9401	B_anthracis_HYU01	B_anthracis_Han	B_anthracis_K3	B_anthracis_London_499	B_anthracis_MCCC_1A01412	B_anthracis_MCCC_1A02161	B_anthracis_Ohio_ACB	B_anthracis_PAK_1	B_anthracis_PCr	B_anthracis_PR01	B_anthracis_PR02	B_anthracis_PR05	B_anthracis_PR06	B_anthracis_PR07	B_anthracis_PR08	B_anthracis_PR09_1	B_anthracis_PR09_4	B_anthracis_PR10_4	B_anthracis_Parent1	B_anthracis_Parent2	B_anthracis_Pasteur	B_anthracis_RA3	B_anthracis_SK_102	B_anthracis_SPV842_15	B_anthracis_SVA11	B_anthracis_Shikan_NIID	B_anthracis_Stendal	B_anthracis_Sterne	B_anthracis_Tangail_1	B_anthracis_Turkey32	B_anthracis_Tyrol_4675	B_anthracis_V770_NP_1R	B_anthracis_Vollum	B_anthracis_Vollum_1B	NBI0584183_contig	NBI0584184_contig	NBI0584185_contig	NBI0584186_contig	NBI0584187_contig	NBI0584188_contig	NBI0584189_contig	
B_anthracis_Cvac02	1628	2852	4076	4245	1541	1277	1817	1986	1568	1541	1598	3393	2851	1665	1733	1387		1609	1608	1547	1565	1599	1599	1588	1705	3233	2119	1759	1763	123947	86849	1696	1425	3437	1609	1609	1611	1607	1611	1612	1642	1613	1627	1695	1615	1375	3073	1489	1903	3496	1604	1496	1608	1637	1429	3421	1579	1549	1662	1877	1478	1497	1891	1752	1642	1642	
B_anthracis_FDAARGOS_341	298	2624	3693	3879	341	791	654	732	351	342	892	3196	2579	1079	1122	1046	1554		405	330	319	345	345	363	1365	2604	1368	1298	1192	123391	86489	795	931	3017	15	15	17	13	18	19	49	20	34	101	22	1044	2805	912	336	3145	281	300	20	240	982	3099	951	998	1034	1216	1018	1018	875	1068	1125	1126	
B_anthracis_FDAARGOS_698	351	2371	3705	3726	54	1030	568	895	80	55	818	3011	2329	1076	1207	1038	1577	436		52	53	31	31	36	1326	2688	1359	1354	1352	123234	86266	802	1003	2987	430	430	431	428	433	434	464	435	449	516	437	1104	2555	1033	755	2976	222	161	447	277	834	3092	946	1007	1020	1254	1162	1158	1005	1440	1283	1282	
B_anthracis_FDAARGOS_700	290	2349	3615	3636	8	940	517	834	35	9	788	2954	2305	1015	1146	957	1516	361	52		8	27	58	82	1243	2664	1310	1293	1271	123307	86235	773	920	2968	355	355	356	353	358	359	389	360	374	441	362	1045	2532	974	651	2917	168	108	372	224	751	3068	916	921	934	1166	1081	1077	898	1331	1174	1173	
B_anthracis_FDAARGOS_701	247	2600	3741	3612	8	922	536	861	35	8	824	3014	2503	1068	1203	1009	1527	291	53	8		28	26	31	1240	2585	1422	1230	1213	122964	85944	689	832	2982	316	316	327	314	319	320	350	321	335	402	321	839	2627	933	632	2980	170	106	289	278	862	3127	933	981	994	1186	1007	1003	775	1153	1093	1092	
B_anthracis_FDAARGOS_704	263	2638	3775	3646	29	948	572	897	63	29	860	3050	2550	1102	1262	949	1561	309	31	27	28		6	11	1268	2632	1456	1277	1256	123018	85978	725	858	3018	342	342	353	340	345	346	376	347	361	428	347	875	2674	969	658	3014	188	134	315	298	896	3161	969	1015	1028	1279	1036	1051	811	1189	1127	1126	
B_anthracis_FDAARGOS_705	261	2638	3775	3646	27	948	570	895	61	27	858	3048	2550	1102	1229	949	1561	309	31	58	26	6		35	1266	2632	1456	1275	1254	123018	85978	723	858	3016	342	342	353	340	345	346	376	347	361	428	347	873	2674	967	658	3014	188	132	315	296	896	3161	967	1015	1028	1280	1034	1036	809	1186	1128	1125	
B_anthracis_FDAARGOS_706	329	2355	3687	3708	32	1003	546	873	58	33	796	2993	2311	1056	1185	1020	1557	394	36	82	31	11	35		1304	2670	1342	1332	1332	123346	86274	781	983	2971	388	388	389	386	391	392	422	393	407	474	395	1084	2538	1013	684	2958	202	139	405	255	814	3074	924	962	975	1213	1142	1138	959	1370	1215	1214	
B_anthracis_H9401	1409	2968	4151	4478	1410	1260	1660	1816	1206	1409	1340	3387	2904	1457	1520	1370	1802	1304	1265	1182	1174	1232	1230	1243		3022	2561	1569	1545	123637	87034	1550	1481	3456	1155	1155	1157	1153	1156	1157	1187	1158	1172	1241	1160	1017	3052	1316	1620	3324	1446	1362	1160	1446	1227	3359	1365	1381	1426	1303	1004	1092	1528	1587	1367	1484	
B_anthracis_HYU01	2859	899	3822	4038	2995	2623	3279	3245	2677	2994	3205	1225	787	3202	3134	3067	3187	2658	2681	2657	2578	2577	2577	2663	3169		3785	3277	3058	122757	85126	2850	2782	1180	2485	2485	2487	2483	2486	2487	2517	2488	2502	2571	2490	2984	973	3090	3022	1183	3015	3029	2495	3163	2953	1510	3004	3067	3062	3071	2933	2937	3149	3070	2923	3129	
B_anthracis_Han	1353	3381	4871	4853	1360	1986	1678	1813	1387	1360	2094	4064	3338	2417	2298	2065	2164	1379	1415	1366	1373	1398	1398	1398	2561	3763		2140	2335	124345	87108	1888	2197	4024	1376	1376	1378	1374	1379	1380	1410	1381	1395	1462	1383	1971	3549	2243	1701	4023	1362	1315	1381	1384	1997	4014	1965	2289	2301	2142	2010	2005	1976	2306	2290	2289	
B_anthracis_K3	1361	2808	4177	4375	1382	1335	1669	1794	1255	1382	1637	3673	2763	1529	996	1253	2046	1228	1309	1237	1230	1277	1275	1287	1548	3053	2219		1525	123642	86457	1453	1283	3311	1164	1164	1166	1162	1165	1166	1196	1167	1181	1250	1169	1120	2935	1339	1572	3630	1421	1352	1165	1461	1310	3448	1602	1503	1473	1615	1215	1302	1533	1562	1506	1579	
B_anthracis_London_499	1480	2829	4041	4284	1542	882	1772	1791	1327	1542	1492	3458	2758	1388	1422	1181	1711	1297	1390	1309	1298	1356	1354	1370	1545	2971	2290	1604		124336	86837	1322	1088	3379	1141	1141	1143	1139	1143	1144	1174	1145	1159	1237	1147	1118	3088	1289	1579	3409	1568	1510	1152	1574	1139	3297	1377	1387	1383	1151	1169	1273	1397	1497	1367	1471	
B_anthracis_MCCC_1A01412	122880	122739	121918	122073	123255	123123	123491	123455	123184	123256	123972	123081	122570	123299	123511	123655	123960	123256	123099	123172	123096	123150	123145	123211	123437	122723	124391	123972	124204		124472	123547	123051	123255	123162	123161	123164	123160	123152	123153	123177	123152	123167	123193	123155	122664	122976	123646	123143	123195	123185	123219	123172	123704	123776	122494	124060	123162	123226	129710	128670	128850	129302	129527	129666	129601	
B_anthracis_MCCC_1A02161	86112	85257	84847	85024	86558	86318	86666	86915	86405	86559	86582	85992	85234	86512	86855	86892	86928	86489	86401	86370	86081	86115	86115	86409	86882	85158	87138	86941	86847	124423		86760	86465	85516	86346	86346	86348	86344	86325	86326	86352	86325	86339	86385	86328	85878	84957	86842	86618	85747	86136	86423	86356	86596	86591	85489	86626	86465	86486	90559	89212	89220	90073	90032	90236	89910	
B_anthracis_Ohio_ACB	750	2831	4046	4298	822	985	1010	1198	664	823	881	3438	2784	1331	1353	1218	1786	783	674	645	645	650	648	653	1548	2797	1834	1429	1297	123663	86776		1100	3253	771	771	772	769	773	774	804	775	789	866	777	1005	2941	1233	1221	3401	810	830	776	876	1123	3228	888	1259	1295	1270	1118	1205	656	1483	1338	1464	
B_anthracis_PAK_1	860	2436	3689	3857	914	567	1183	1303	854	914	1096	2962	2378	999	1220	764	1306	892	886	833	832	858	858	866	1252	2586	2017	1286	889	122798	86398	1062		2900	799	799	801	797	801	802	832	803	817	885	805	689	2492	1024	1210	2914	879	852	804	1009	364	2921	1068	916	899	1037	827	846	1032	1136	1122	1121	
B_anthracis_PCr	3277	1445	4421	4570	3297	3139	3541	3573	2987	3298	3345	588	1306	3319	3280	3189	3525	3049	2987	2968	2958	2958	2956	2971	3389	1158	4005	3408	3379	123256	85499	3253	2939		2857	2857	2859	2855	2858	2859	2889	2860	2874	2943	2862	3121	1527	3260	3347	565	3345	3346	2867	3295	3065	1835	3231	3230	3239	3587	3564	3555	3445	3633	3470	3700	
B_anthracis_PR01	296	2484	3593	3587	318	736	637	730	344	318	816	2991	2442	1021	1031	948	1565	15	399	324	313	339	339	357	1155	2431	1376	1238	1092	123297	86346	771	832	2825		4	6	2	6	7	38	8	22	90	10	916	2672	889	341	2958	261	296	21	241	900	2959	816	940	976	1087	890	890	725	1032	1089	1088	
B_anthracis_PR02	296	2484	3593	3587	318	736	637	730	344	318	816	2991	2442	1021	1031	948	1565	15	399	324	313	339	339	357	1155	2431	1376	1238	1092	123296	86346	771	832	2825	4		6	2	6	7	38	8	22	90	10	916	2672	889	341	2958	261	296	21	241	900	2959	816	940	976	1087	890	890	725	1032	1089	1088	
B_anthracis_PR05	297	2486	3595	3589	319	738	639	732	345	319	818	2993	2444	1023	1033	950	1567	17	400	325	314	340	340	358	1157	2433	1378	1240	1094	123299	86348	772	834	2827	6	6		4	7	8	39	9	23	92	11	918	2674	891	343	2960	262	298	23	242	902	2961	818	942	978	1089	892	892	727	1034	1091	1090	
B_anthracis_PR06	294	2482	3591	3585	316	734	635	728	342	316	814	2989	2440	1019	1029	946	1563	13	397	322	311	337	337	355	1153	2429	1374	1236	1090	123295	86344	769	830	2823	2	2	4		5	6	37	7	21	88	9	914	2670	887	339	2956	259	294	19	239	898	2957	814	938	974	1085	888	888	723	1030	1087	1086	
B_anthracis_PR07	299	2485	3591	3587	321	738	640	733	347	321	815	2992	2443	1022	1032	950	1567	18	402	327	316	342	342	360	1156	2432	1379	1239	1094	123287	86325	773	834	2826	6	6	7	5		5	37	6	21	93	6	918	2673	890	344	2959	264	299	24	244	902	2960	815	941	977	1090	893	893	728	1034	1091	1090	
B_anthracis_PR08	300	2486	3592	3588	322	739	641	734	348	322	816	2993	2444	1023	1033	951	1568	19	403	328	317	343	343	361	1157	2433	1380	1240	1095	123288	86326	774	835	2827	7	7	8	6	5		36	3	20	94	9	919	2674	891	345	2960	265	300	25	245	903	2961	816	942	978	1091	894	894	729	1035	1092	1091	
B_anthracis_PR09_1	330	2516	3621	3617	352	769	671	764	378	352	846	3023	2474	1053	1063	981	1598	49	433	358	347	373	373	391	1187	2463	1410	1270	1125	123312	86352	804	865	2857	38	38	39	37	37	36		35	30	125	39	949	2704	921	376	2990	295	330	56	275	933	2991	846	972	1008	1121	924	924	759	1065	1122	1121	
B_anthracis_PR09_4	301	2487	3592	3588	323	740	642	735	349	323	817	2994	2445	1024	1034	952	1569	20	404	329	318	344	344	362	1158	2434	1381	1241	1096	123287	86325	775	836	2828	8	8	9	7	6	3	35		21	95	10	920	2675	892	346	2961	266	301	26	246	904	2962	817	943	979	1092	895	895	730	1036	1093	1092	
B_anthracis_PR10_4	315	2501	3606	3602	337	754	656	749	363	337	831	3008	2459	1038	1048	966	1583	34	418	343	332	358	358	376	1172	2448	1395	1255	1110	123302	86339	789	850	2842	22	22	23	21	21	20	30	21		109	23	934	2689	906	360	2975	280	315	40	260	918	2976	831	957	993	1106	909	909	744	1050	1107	1106	
B_anthracis_Parent1	382	2570	3676	3670	404	822	723	816	430	404	909	3077	2528	1116	1126	1034	1651	101	485	410	399	425	425	443	1241	2517	1462	1308	1188	123328	86385	866	928	2911	90	90	92	88	93	94	125	95	109		97	1002	2741	984	353	3044	347	382	107	327	918	2938	909	1035	1071	1173	976	976	818	1127	1184	1183	
B_anthracis_Parent2	303	2489	3595	3591	325	742	644	737	351	325	819	2996	2447	1026	1036	954	1571	22	406	331	320	346	346	364	1160	2436	1383	1243	1098	123290	86328	777	838	2830	10	10	11	9	6	9	39	10	23	97		922	2677	894	348	2963	268	303	28	248	906	2964	819	945	981	1094	897	897	732	1038	1095	1094	
B_anthracis_Pasteur	910	2498	3990	3934	931	435	1220	1381	893	931	1141	3015	2442	1054	1015	702	1283	924	976	874	840	876	874	913	1040	2584	2066	1120	973	121841	85636	1038	596	3034	795	795	804	793	797	798	828	799	813	881	799		2655	909	1214	3158	919	899	799	1060	553	3069	1168	979	972	850	102	70	1116	1172	1043	1009	
B_anthracis_RA3	2955	407	3699	3873	2768	2694	2995	3261	2534	2769	3109	1551	380	2933	2777	2665	3073	2759	2536	2513	2648	2647	2647	2519	3011	958	3576	2748	3128	122968	84948	2894	2467	1527	2626	2626	2628	2624	2627	2628	2658	2629	2643	2695	2631	2823		2909	3055	1530	3031	2768	2636	2769	2598	993	2914	2824	2791	3079	3143	3219	3271	3323	3005	3306	
B_anthracis_SK_102	1187	2748	4103	4306	1079	1040	1358	1508	973	1079	1314	3347	2685	359	1239	1067	1657	1034	1013	954	966	1002	1000	993	1418	2925	2207	1369	1256	123065	86378	1167	963	3280	986	986	1002	984	987	988	1018	989	1003	1072	989	942	2978		1371	3474	1104	1074	985	1303	1134	3102	1152	348	349	1311	989	1084	1077	387	328	310	
B_anthracis_SPV842_15	603	2956	3941	4148	635	1125	953	1066	640	636	1156	3492	2913	1393	1422	1301	1859	336	724	620	609	635	635	653	1620	2968	1701	1605	1530	123278	86618	1136	1235	3315	341	341	343	339	344	345	376	346	360	353	348	1200	3101	1286		3448	571	609	346	554	1245	3380	1155	1319	1354	1656	1418	1418	1425	1645	1702	1703	
B_anthracis_SVA11	3363	1474	4423	4561	3239	3114	3487	3650	2920	3240	3555	151	1342	3232	3304	3170	3447	3130	2957	2898	3039	3073	3073	2939	3333	1172	4020	3591	3449	123175	85630	3354	2948	554	2943	2943	2945	2941	2944	2945	2975	2946	2960	3029	2948	2958	1519	3230	3433		3497	3288	2953	3242	3333	1979	3432	3138	3183	3478	3256	3251	3491	3408	3226	3467	
B_anthracis_Shikan_NIID	346	2959	3948	4097	197	1021	647	709	185	197	1002	3399	2866	1252	1400	1133	1585	299	209	164	165	183	183	189	1512	2969	1334	1421	1492	123050	86176	861	888	3380	311	311	325	309	314	315	345	316	330	397	316	914	2990	1081	640	3396		220	286	406	992	3379	1021	1143	1162	1328	1070	1051	979	1321	1151	1260	
B_anthracis_Stendal	331	2648	3690	3994	110	1044	525	830	126	109	887	3274	2597	1182	1211	1105	1490	331	161	108	107	135	133	139	1422	2983	1285	1403	1459	123354	86411	742	994	3264	357	357	359	355	360	361	391	362	376	443	364	1048	2794	1133	670	3225	232		368	192	899	3340	920	1083	1091	1196	1073	1051	808	1272	1263	1332	
B_anthracis_Sterne	301	2494	3602	3596	335	734	642	735	361	335	822	3001	2452	1020	1031	947	1564	20	416	341	330	356	356	374	1160	2441	1381	1239	1103	123307	86356	776	837	2835	21	21	23	19	24	25	56	26	40	107	28	920	2682	888	346	2968	268	307		259	905	2969	822	939	975	1104	894	894	729	1031	1088	1087	
B_anthracis_Tangail_1	398	2666	3834	4096	241	976	631	926	242	240	1057	3276	2615	1251	1268	1184	1607	240	277	224	219	247	245	255	1446	3273	1384	1632	1547	123839	86583	876	1020	3260	241	241	242	239	244	245	275	246	260	327	248	1099	2831	1112	554	3227	351	192	259		1055	3428	978	1148	1157	1265	1212	1191	1030	1549	1322	1394	
B_anthracis_Turkey32	986	2546	3564	3846	964	588	1204	1375	822	965	1187	3158	2490	1062	1020	780	1429	993	884	801	804	860	860	864	1225	2747	1952	1204	1120	123737	86759	1123	338	3065	900	900	902	898	902	903	933	904	918	918	906	560	2684	925	1245	3106	1078	923	905	1103		3008	1044	1007	878	890	655	736	1277	1076	1102	1161	
B_anthracis_Tyrol_4675	3294	864	4209	4373	3362	2919	3711	3569	3088	3361	3270	1964	833	3253	3083	3006	3421	3099	3092	3068	3068	3067	3067	3074	3359	1510	4014	3152	3297	122627	85487	3228	2912	1835	2959	2959	2961	2957	2960	2961	2991	2962	2976	2938	2964	2945	1003	3124	3380	1979	3375	3340	2969	3428	3008		3089	3140	3150	3217	3253	3256	3410	3656	3280	3497	
B_anthracis_V770_NP_1R	975	2810	3941	4165	1022	1012	1316	1418	963	1022	92	3249	2787	1316	1336	1043	1580	978	1005	944	933	969	967	983	1380	2755	2012	1603	1249	123346	86434	969	1049	3170	849	849	851	847	848	849	879	850	864	935	850	1168	2940	1164	1251	3202	1022	985	848	1082	1122	3230		1233	1246	1202	1182	1184	1088	1212	1271	1272	
B_anthracis_Vollum	1121	2605	3785	4079	1048	821	1355	1449	936	1049	1138	3180	2556	378	1140	1047	1550	962	1001	915	908	942	942	956	1356	2809	2289	1308	1364	123373	86444	1253	827	3230	934	934	936	932	935	936	966	937	951	1029	939	985	2745	309	1298	3129	1090	1097	933	1130	1020	3140	1091		73	1358	1130	1142	1290	104	99	99	
B_anthracis_Vollum_1B	1183	2682	3864	4044	1055	835	1402	1497	949	1056	1148	3228	2622	373	1183	1080	1743	1028	1014	928	922	956	956	969	1403	2826	2301	1347	1378	123437	86766	1289	778	3239	970	970	972	968	971	972	1002	973	987	1065	975	978	2797	303	1348	3176	1139	1139	969	1138	873	3150	1117	73		1185	1037	1051	1291	62	43	46	
