	B_anthracis_14RA5914	B_anthracis_17OD930	B_anthracis_2000031021	B_anthracis_2002013094	B_anthracis_A0248	B_anthracis_A1144	B_anthracis_A16	B_anthracis_A16R	B_anthracis_Ames	B_anthracis_Ames_Ancestor_A2084	B_anthracis_BA1015	B_anthracis_BA1035	B_anthracis_BF1	B_anthracis_CDC_684	B_anthracis_CZC5	B_anthracis_Canadian_bison	B_anthracis_Cvac02	B_anthracis_FDAARGOS_341	B_anthracis_FDAARGOS_698	B_anthracis_FDAARGOS_700	B_anthracis_FDAARGOS_701	B_anthracis_FDAARGOS_704	B_anthracis_FDAARGOS_705	B_anthracis_FDAARGOS_706	B_anthracis_H9401	B_anthracis_HYU01	B_anthracis_Han	B_anthracis_K3	B_anthracis_London_499	B_anthracis_MCCC_1A01412	B_anthracis_MCCC_1A02161	B_anthracis_Ohio_ACB	B_anthracis_PAK_1	B_anthracis_PCr	B_anthracis_PR01	B_anthracis_PR02	B_anthracis_PR05	B_anthracis_PR06	B_anthracis_PR07	B_anthracis_PR08	B_anthracis_PR09_1	B_anthracis_PR09_4	B_anthracis_PR10_4	B_anthracis_Parent1	B_anthracis_Parent2	B_anthracis_Pasteur	B_anthracis_RA3	B_anthracis_SK_102	B_anthracis_SPV842_15	B_anthracis_SVA11	B_anthracis_Shikan_NIID	B_anthracis_Stendal	B_anthracis_Sterne	B_anthracis_Tangail_1	B_anthracis_Turkey32	B_anthracis_Tyrol_4675	B_anthracis_V770_NP_1R	B_anthracis_Vollum	B_anthracis_Vollum_1B	NBI0584183_contig	NBI0584184_contig	NBI0584185_contig	NBI0584186_contig	NBI0584187_contig	NBI0584188_contig	NBI0584189_contig	
B_anthracis_BA1015	743	2476	3319	3497	769	792	1038	1028	659	770		2786	2420	1161	1226	840	1218	684	690	640	629	657	655	669	1088	2422	1615	1359	1095	99654	71070	824	884	2667	616	616	618	614	614	615	645	616	630	695	616	953	2566	1050	970	2748	790	720	615	853	953	2702	78	1134	1150	1037	1050	1059	838	1183	1194	1242	
B_anthracis_BA1035	2713	1159	3534	3705	2677	2538	2950	2974	2471	2677	2863		1105	2758	2846	2595	2898	2576	2498	2452	2444	2472	2468	2482	2765	873	3468	3076	2937	99177	71383	2707	2425	424	2476	2476	2478	2474	2475	2476	2507	2478	2492	2555	2478	2498	1234	2650	2866	123	2693	2746	2487	2815	2571	1752	2720	2695	2711	2744	2499	2487	2449	2772	2425	2674	
B_anthracis_BF1	2228	149	2962	3029	2035	2143	2245	2452	1860	2036	2494	1110		2098	2116	1992	2250	2097	1878	1841	1986	2007	2006	1868	2372	608	2681	2037	2299	100804	70015	2245	1902	1005	1966	1967	1969	1965	1967	1968	1998	1969	1983	2053	1971	2118	312	2072	2365	1083	2296	2138	1973	2067	1916	754	2439	1999	1987	2388	2410	2413	2410	2435	2198	2477	
B_anthracis_CDC_684	938	2195	3309	3546	932	798	1189	1294	809	911	1039	2661	2145		1010	976	1470	837	843	788	781	813	814	827	1081	2361	1811	1292	1193	100568	70383	947	800	2602	780	780	798	778	781	782	812	783	797	866	785	924	2270	273	1115	2598	956	911	778	971	989	2608	898	270	287	852	833	921	875	248	218	241	
B_anthracis_CZC5	964	2158	3114	3307	1012	875	1184	1292	900	1011	1139	2658	2099	1061		1021	1565	959	934	890	892	914	910	915	1337	2328	1992	759	1076	101993	70344	1167	838	2639	868	868	870	866	869	870	900	871	885	963	873	862	2212	924	1227	2612	1094	956	864	1047	798	2572	1083	958	987	899	850	932	992	948	872	936	
B_anthracis_Canadian_bison	914	1920	2867	3383	901	535	1147	1232	787	902	872	2517	1900	922	907		1114	860	809	768	762	783	780	794	1104	2196	1635	1030	867	102680	71639	1043	622	2479	768	768	770	766	770	771	801	772	786	827	774	536	2028	857	1114	2467	940	880	764	921	620	2498	833	752	772	439	772	785	870	1045	961	1016	
B_anthracis_Cvac02	1336	2287	3364	3466	1266	1080	1463	1585	1286	1266	1303	2698	2295	1380	1435	1154		1343	1317	1272	1292	1313	1310	1298	1441	2647	1701	1355	1505	102083	70505	1426	1140	2712	1342	1342	1344	1340	1344	1345	1375	1346	1360	1428	1348	1148	2483	1226	1605	2810	1331	1229	1336	1353	1184	2904	1288	1290	1389	1250	1123	1138	1247	1306	1196	1198	
B_anthracis_FDAARGOS_341	251	2031	2964	2958	299	667	573	565	317	300	663	2412	1985	827	871	841	1230		362	298	288	310	308	326	1135	2117	1124	942	938	103070	71466	673	733	2406	14	14	15	12	17	18	48	19	33	100	21	842	2179	696	335	2363	242	258	17	207	677	2589	726	757	772	943	860	855	700	831	821	823	
B_anthracis_FDAARGOS_698	258	1970	3049	3001	44	800	492	564	68	45	641	2424	1926	857	974	849	1308	363		42	43	26	25	32	1095	2093	1122	996	1070	102887	70571	693	796	2415	359	359	360	357	362	363	393	364	378	441	366	947	2139	860	647	2398	189	133	376	235	643	2549	764	799	815	970	846	839	759	1175	1019	1018	
B_anthracis_FDAARGOS_700	205	1976	3021	2973	6	719	449	511	31	7	621	2397	1930	806	923	778	1258	296	42		6	20	47	68	1023	2098	1083	945	998	103109	70669	674	722	2425	292	292	293	290	295	296	326	297	311	374	299	903	2144	810	551	2368	143	88	309	190	569	2569	744	722	738	962	891	883	721	1071	920	919	
B_anthracis_FDAARGOS_701	222	2146	3087	2982	6	751	474	735	29	6	700	2542	2030	838	1064	880	1241	262	37	6		14	12	15	1036	2152	1204	1044	1085	100684	71946	588	712	2456	255	256	267	254	258	259	290	261	275	338	261	722	2176	738	592	2508	146	92	259	248	748	2592	803	781	793	897	746	745	596	810	754	753	
B_anthracis_FDAARGOS_704	222	2208	3103	2936	15	602	496	757	45	15	723	2560	2098	852	1023	747	1196	213	28	13	14		6	9	993	2172	1124	1035	958	99970	70691	613	710	2478	216	217	228	215	219	220	251	222	236	299	222	719	2245	756	552	2530	150	109	219	249	759	2567	776	797	809	1054	880	891	646	969	910	910	
B_anthracis_FDAARGOS_705	224	2207	3114	2949	14	606	498	760	44	14	724	2570	2099	851	996	751	1201	215	28	42	13	6		24	997	2174	1129	1038	963	100833	71266	615	712	2483	218	219	230	217	221	222	253	224	238	298	224	723	2245	753	554	2534	152	108	220	248	763	2570	777	797	809	1014	802	797	620	914	862	859	
B_anthracis_FDAARGOS_706	242	1955	3038	3065	25	770	475	551	46	26	629	2412	1911	840	952	820	1289	327	29	75	24	9	32		1078	2094	1122	987	1046	102323	71132	680	778	2397	323	323	324	321	326	327	357	328	342	405	330	929	2119	837	611	2383	177	114	340	214	623	2531	754	750	767	914	844	844	721	860	850	849	
B_anthracis_H9401	1150	2390	3399	3639	1165	1116	1378	1493	992	1164	1120	2713	2348	1187	1333	1177	1447	1133	1020	975	969	991	987	1000		2370	2026	1310	1240	101760	70531	1370	1164	2711	987	987	989	985	988	989	1019	990	1004	1073	992	864	2465	1072	1418	2658	1224	1129	990	1192	1024	2820	1163	1127	1161	950	831	916	1183	1157	1017	1136	
B_anthracis_HYU01	2366	752	3105	3294	2474	2183	2691	2644	2247	2473	2641	1041	645	2572	2596	2570	2644	2229	2265	2228	2133	2155	2153	2257	2616		3147	2706	2568	99906	69959	2351	2316	953	2061	2061	2063	2061	2064	2064	2095	2065	2080	2122	2066	2474	804	2472	2595	998	2494	2511	2064	2634	2435	1301	2513	2442	2447	2474	2425	2421	2618	2525	2387	2594	
B_anthracis_Han	1078	2763	3878	3986	1099	1570	1355	1399	1125	1099	1709	3256	2714	1915	1834	1651	1697	1108	1143	1103	1110	1131	1129	1130	2119	3034		1676	1854	101230	71073	1538	1801	3205	1105	1105	1107	1103	1108	1109	1139	1109	1123	1191	1112	1598	2902	1778	1399	3221	1106	1063	1107	1148	1607	3358	1580	1800	1819	1623	1565	1564	1450	1657	1641	1639	
B_anthracis_K3	1157	2403	3591	3766	1171	1181	1413	1492	1077	1171	1444	3209	2362	1313	867	1064	1775	1059	1111	1058	1062	1093	1091	1090	1323	2590	1862		1330	102544	72545	1247	1156	2844	1006	1006	1008	1004	1005	1006	1037	1008	1022	1063	1010	962	2498	1141	1375	3169	1199	1149	1007	1222	1122	2893	1424	1307	1279	1340	1033	1124	1193	1345	1297	1368	
B_anthracis_London_499	1121	2281	3252	3408	1199	738	1382	1339	1068	1199	1279	2773	2223	1102	1123	965	1489	1069	1094	1053	1042	1065	1061	1078	1269	2392	1877	1298		101477	70188	1077	818	2768	913	913	915	911	915	916	946	916	930	1009	919	827	2525	1028	1320	2728	1245	1177	922	1222	878	2748	1162	1078	1083	701	716	810	857	923	797	908	
B_anthracis_MCCC_1A01412	99921	99664	99200	99459	100276	100112	100463	100417	100201	100277	101000	100168	99697	100339	100358	100637	100697	100282	100230	100192	100154	100198	100198	100220	100291	99932	101277	100624	101145		100679	100547	100139	100266	100186	100186	100189	100185	100176	100177	100201	100176	100190	100214	100179	99777	100068	100632	100344	100247	100240	100245	100196	100714	100753	99697	101125	100220	100286	101014	100160	100302	100792	100933	101079	101018	
B_anthracis_MCCC_1A02161	71171	70058	69764	69925	71543	71042	71604	71873	71411	71544	71248	70737	70040	71195	71540	71574	71522	71471	71405	71377	71087	71120	71119	71415	71605	69951	71687	71552	71560	103120		71417	71158	70264	71351	71352	71354	71350	71331	71332	71332	71332	71333	71350	71332	70645	69721	71504	71624	70519	71110	71413	71355	71574	71267	70584	71614	71177	71171	70888	69679	69684	70334	70294	70501	70172	
B_anthracis_Ohio_ACB	574	2146	3270	3379	654	840	809	975	541	655	682	2547	2125	1119	1133	1025	1345	655	567	523	521	547	544	551	1239	2261	1503	1144	1016	102105	70430		901	2536	652	652	652	651	655	656	685	656	670	748	659	857	2240	1045	1062	2517	619	677	656	699	802	2641	701	1061	1065	1036	858	947	559	1282	1144	1271	
B_anthracis_PAK_1	749	2040	3121	3289	784	466	996	1057	729	784	950	2480	1994	860	1102	667	1087	767	753	707	706	728	728	735	1078	2134	1693	1171	787	101812	72683	941		2421	675	675	677	673	675	676	707	678	691	703	680	628	2071	909	1046	2434	748	734	680	843	324	2089	919	804	781	721	659	662	863	756	743	746	
B_anthracis_PCr	2505	1033	3588	3598	2522	2436	2715	2708	2348	2523	2597	491	966	2458	2523	2432	2808	2359	2368	2329	2323	2344	2342	2356	2626	884	3167	2623	2646	100124	69652	2529	2221		2228	2229	2231	2227	2229	2230	2260	2231	2245	2315	2233	2445	1173	2427	2625	469	2540	2583	2235	2515	2302	1481	2516	2358	2375	2890	2784	2774	2663	2854	2694	2925	
B_anthracis_PR01	245	1919	2928	2855	284	634	561	564	303	284	625	2266	1870	798	831	797	1240	14	354	288	278	300	298	316	988	2014	1124	917	876	102595	70760	656	662	2278		4	5	2	6	7	38	8	22	90	10	789	2074	697	309	2239	227	258	17	210	638	2481	627	732	751	464	320	313	308	420	404	406	
B_anthracis_PR02	245	1919	2928	2855	284	634	561	564	303	284	625	2266	1870	798	831	797	1240	14	354	288	278	300	298	316	988	2014	1124	917	876	102594	70760	656	662	2278	4		5	2	6	7	38	8	22	90	10	789	2074	697	309	2239	227	258	17	210	638	2481	627	732	751	490	357	351	333	463	446	448	
B_anthracis_PR05	246	1920	2929	2856	285	635	562	565	304	285	626	2267	1871	799	832	798	1241	15	355	289	279	301	299	317	989	2015	1125	918	877	102596	70761	657	663	2279	5	5		3	6	7	38	8	22	91	10	790	2075	698	310	2240	228	259	18	211	639	2482	628	733	752	495	363	357	337	473	456	458	
B_anthracis_PR06	243	1917	2926	2853	282	632	559	562	301	282	623	2264	1868	795	829	795	1238	12	352	286	276	298	296	314	986	2012	1121	915	874	102538	70658	654	659	2274	2	2	3		4	5	36	6	20	87	8	787	2071	694	307	2236	225	256	15	207	635	2469	625	729	748	463	319	311	307	418	403	405	
B_anthracis_PR07	248	1916	2925	2855	287	635	564	568	307	287	624	2264	1869	797	831	798	1241	17	357	291	281	302	301	319	987	2012	1121	916	876	102526	70696	658	660	2275	6	6	6	5		5	37	6	21	92	6	789	2072	697	312	2237	230	261	20	212	635	2471	625	731	750	528	511	508	322	598	653	655	
B_anthracis_PR08	249	1917	2925	2855	288	636	565	569	308	288	625	2265	1870	798	832	799	1242	18	358	292	282	303	302	320	988	2013	1122	917	877	102529	70700	659	661	2276	7	7	7	6	5		36	3	20	93	9	790	2073	698	313	2238	231	262	21	213	636	2472	626	732	751	528	512	509	323	599	654	656	
B_anthracis_PR09_1	279	1947	2954	2884	318	666	595	600	338	318	655	2295	1900	828	862	829	1272	48	388	322	312	333	332	350	1018	2043	1152	947	907	102552	70730	689	691	2306	38	38	38	37	37	36		35	30	124	39	820	2103	728	344	2268	261	292	52	243	666	2502	656	762	781	714	657	655	474	754	810	811	
B_anthracis_PR09_4	250	1918	2925	2855	289	637	566	570	309	289	626	2266	1871	799	833	800	1243	19	359	293	283	304	303	321	989	2014	1123	918	878	102528	70699	660	662	2277	8	8	8	7	6	3	35		21	94	10	791	2074	699	314	2239	232	263	22	214	637	2473	627	733	752	612	593	589	364	691	747	748	
B_anthracis_PR10_4	264	1932	2939	2869	303	651	580	584	323	303	640	2280	1885	813	847	814	1257	33	373	307	297	318	317	335	1003	2028	1137	932	892	102540	70718	674	676	2291	22	22	22	21	21	20	30	21		108	23	805	2088	713	328	2253	246	277	36	228	651	2487	641	747	766	640	608	603	387	707	763	764	
B_anthracis_Parent1	331	2005	3011	2938	370	720	647	650	389	370	718	2352	1956	893	926	883	1326	100	440	374	364	386	384	402	1074	2100	1210	987	972	102627	70801	751	758	2363	90	90	91	88	93	94	125	95	109		97	875	2143	792	321	2325	313	344	103	296	656	2460	720	827	846	579	467	460	379	574	557	559	
B_anthracis_Parent2	252	1921	2931	2861	291	639	568	573	311	291	628	2270	1874	802	835	803	1245	21	361	295	285	306	305	323	992	2018	1128	920	881	102725	70863	662	665	2282	10	10	10	9	6	9	39	10	23	97		793	2077	702	316	2243	234	265	24	217	640	2485	629	736	755	643	599	592	383	696	752	753	
B_anthracis_Pasteur	786	2062	3276	3261	802	333	1029	1130	763	802	982	2497	2015	918	873	620	1062	795	834	743	709	737	735	772	871	2126	1723	974	846	99374	71047	905	533	2504	666	666	675	664	666	667	698	669	683	745	669		2204	788	1047	2640	789	776	670	881	468	2571	1006	849	859	648	75	51	851	805	813	779	
B_anthracis_RA3	2448	311	3041	3091	2257	2216	2428	2628	2083	2258	2481	1234	301	2351	2267	2167	2516	2289	2084	2068	2188	2187	2185	2074	2405	727	2849	2222	2625	102216	69945	2367	1970	1211	2200	2200	2201	2199	2209	2209	2234	2204	2219	2272	2205	2310		2365	2526	1223	2503	2261	2207	2251	2103	829	2316	2262	2238	2557	2541	2617	2666	2712	2400	2701	
B_anthracis_SK_102	991	2325	3444	3632	874	813	1127	1224	781	874	1117	2832	2270	308	954	888	1310	866	808	761	773	801	799	790	1131	2447	1744	1142	1096	100072	71198	992	844	2740	820	820	836	818	819	820	847	822	836	899	822	820	2521		1162	2959	900	885	819	922	994	2692	957	305	308	1017	779	880	874	345	289	269	
B_anthracis_SPV842_15	543	2385	3269	3366	588	919	862	856	593	589	937	2839	2347	1175	1254	1099	1536	305	617	575	565	592	590	608	1395	2545	1411	1278	1259	102746	71975	915	1109	2847	309	309	311	307	310	311	342	312	325	318	314	1068	2491	1141		2797	521	567	313	509	972	2632	929	1157	1177	796	742	739	683	892	874	878	
B_anthracis_SVA11	2740	1145	3611	3669	2588	2499	2791	2953	2356	2589	2860	122	1090	2462	2638	2514	2774	2573	2380	2336	2459	2488	2487	2372	2633	930	3240	2855	2796	100365	69287	2715	2334	478	2392	2393	2395	2391	2393	2394	2424	2395	2409	2475	2397	2301	1254	2484	2838		2846	2644	2395	2575	2639	1685	2802	2368	2419	2856	2722	2717	2873	2859	2680	2922	
B_anthracis_Shikan_NIID	286	2439	3161	3250	160	671	561	578	162	160	842	2812	2329	1005	1131	898	1248	202	174	140	141	151	151	155	1192	2433	999	1156	1140	99891	70324	721	753	2752	188	188	202	186	189	190	217	192	206	267	192	746	2461	844	533	2809		183	194	335	831	2807	832	901	920	938	814	796	756	1089	922	1033	
B_anthracis_Stendal	219	2183	3003	3215	90	769	439	516	105	89	701	2611	2129	917	974	886	1231	260	132	88	86	109	106	114	1129	2300	1059	1028	1079	102867	70685	618	784	2612	282	282	283	280	285	286	316	287	301	364	289	869	2322	915	558	2568	184		299	161	693	2728	748	819	832	813	652	632	531	864	853	925	
B_anthracis_Sterne	248	1926	2933	2860	299	630	564	567	318	299	629	2272	1877	794	829	792	1237	17	369	303	293	315	313	331	990	2020	1125	914	884	102425	70615	659	664	2283	17	17	18	15	19	20	51	21	35	102	23	792	2081	693	312	2245	232	267		225	640	2479	631	728	747	581	529	526	443	621	603	605	
B_anthracis_Tangail_1	317	2196	3147	3396	202	806	540	584	203	201	863	2614	2145	1008	1009	963	1330	208	228	185	180	203	200	212	1175	2597	1153	1256	1164	102689	71171	735	818	2602	212	211	213	210	215	216	246	217	231	267	219	874	2346	908	516	2565	294	158	229		839	2784	803	894	909	866	836	817	666	1066	859	933	
B_anthracis_Turkey32	784	2064	2916	3099	778	476	977	1100	648	779	975	2546	2025	836	808	637	1181	827	704	634	636	688	686	692	1025	2243	1571	980	923	102440	70880	923	302	2424	735	735	737	733	736	737	767	738	752	756	740	434	2184	725	1049	2507	888	742	738	908		2519	832	783	662	778	575	659	1101	918	950	1010	
B_anthracis_Tyrol_4675	2509	540	3158	3360	2526	2190	2802	2721	2306	2525	2492	1335	529	2493	2384	2301	2635	2337	2305	2287	2286	2283	2282	2291	2497	990	3104	2364	2470	102894	71059	2434	2171	1266	2207	2207	2209	2205	2207	2208	2237	2208	2222	2184	2211	2273	678	2369	2554	1311	2543	2512	2212	2582	2315		2331	2394	2402	1858	1987	1991	1980	2179	1890	2107	
B_anthracis_V770_NP_1R	796	2369	3247	3363	839	807	1063	1101	781	839	75	2727	2357	1087	1158	834	1287	813	811	761	750	778	776	790	1064	2284	1557	1373	1058	99550	70472	820	893	2628	689	689	691	687	686	687	714	689	703	768	689	1003	2484	962	1076	2683	835	807	688	872	936	2725		1031	1040	982	972	974	815	953	1015	1016	
B_anthracis_Vollum	855	2065	2996	3197	744	640	1027	1086	705	745	837	2423	2024	284	885	827	1277	744	756	687	682	702	700	714	1093	2218	1794	1002	1132	101123	70633	999	653	2435	721	720	723	719	721	722	752	723	737	780	725	760	2158	219	1063	2380	762	836	718	820	823	2552	819		53	1063	906	919	1023	94	85	90	
B_anthracis_Vollum_1B	847	2126	2955	3152	791	679	1110	1170	713	792	918	2503	2065	301	972	863	1473	788	761	693	687	707	705	720	1061	2259	1829	1077	961	102205	71496	994	634	2519	731	730	732	729	732	733	762	732	746	790	736	795	2214	225	1097	2459	860	832	728	867	720	2546	902	54		981	882	891	1094	51	37	40	
